"","id","weight","name"
"31","147","-0.000236713966729932","body"
"55","360","-0.000495405287817939","death"
"45","251","-0.000530497392128973","motion"
"7","123","-0.000832352535496958","friend"
"14","13","-0.00102145789473684","past"
"52","357","-0.00119892468030691","home"
"27","141","-0.00127249443319838","see"
"8","124","-0.00137099398868458","humans"
"62","8","-0.00197481302945838","they"
"24","139","-0.00240072151098467","excl"
"41","20","-0.00250993755221387","quant"
"20","135","-0.00273625936462779","tentat"
"17","132","-0.00285264311680101","insight"
"28","142","-0.00308157192982456","hear"
"56","4","-0.00313280006322111","i"
"21","136","-0.00361489884621463","certain"
"60","6","-0.00392141795350416","you"
"46","252","-0.00437460416666666","space"
"26","140","-0.00621137063379169","percept"
"47","253","-0.00689485056390977","time"
"25","14","-0.00706399886146043","present"
"3","11","-0.0075908726388242","verb"
"36","16","-0.0101721564722617","adverb"
"44","250","-0.011935037959482","relativ"
"59","5","-0.0122643924450767","we"
"63","9","-0.0136027561245456","ipron"
"37","17","-0.0136226974728488","preps"
"38","18","-0.0142830564248459","conj"
"23","138","-0.0179690794695071","incl"
"48","3","-0.0233411002054686","ppron"
"16","131","-0.0250824431913116","cogmech"
"5","121","-0.0271656066207185","social"
"40","2","-0.0369438536431168","pronoun"
"1","1","-0.073819149122807","funct"
"39","19","-3.3212930577637e-05","negate"
"58","463","-4.14034482758621e-05","nonfl"
"33","149","-5.51752342209072e-05","sexual"
"29","143","-7.93989198919895e-05","feel"
"4","12","0.000159516120685196","auxverb"
"12","128","0.000169293825871296","anx"
"43","22","0.000383725306122449","swear"
"32","148","0.000391183868501529","health"
"6","122","0.000514220855614973","family"
"22","137","0.000597262051525211","inhib"
"61","7","0.000871855879074951","shehe"
"51","356","0.000950510520850413","leisure"
"13","129","0.00103878379442195","anger"
"42","21","0.00194761111111111","number"
"30","146","0.00211554903482896","bio"
"19","134","0.00214618049628576","discrep"
"15","130","0.00215162896028559","sad"
"54","359","0.00231717184440674","relig"
"18","133","0.00241815884305358","cause"
"50","355","0.00251120135925399","achieve"
"57","462","0.00278424112426036","assent"
"34","15","0.00312150719140193","future"
"35","150","0.00317846948276841","ingest"
"11","127","0.00357006353722143","negemo"
"10","126","0.00488051514202172","posemo"
"2","10","0.00570374698545774","article"
"9","125","0.00826367016499582","affect"
"49","354","0.0115767398451083","work"
"53","358","0.0128073467678205","money"
